ID,Title,Main Author,Authors,Year,Study Link,Abstract,Health Category,Health Indicator,Sensor Position,Sensor Type,Physiological Signal,Advantage
139,Stereo-BP: Non-Invasive Blood Pressure Sensing with Earables,"Balaji, Ananta Narayanan et al.","Balaji, Ananta Narayanan and Ferlini, Andrea and Kawsar, Fahim and Montanari, Alessandro",2023,https://doi.org/10.1145/3572864.3580341,"Frequent blood pressure monitoring with earables has been increasingly explored owing to its importance in diagnosing cardiac health. While previous solutions for blood pressure estimation in earables are uncomfortable and less accurate, the objective of this study is to achieve non-invasive, accurate and cuff-less blood pressure monitoring with PPG sensors integrated into earphones. To this end, we investigated photoplethysmograph (PPG) signals from the left and right ears and found that blood arrives earlier in the left ear due to the closer distance from the heart. Based on our findings, we propose Stereo-BP --- an earable system leveraging the pulse time difference measured between PPG signals from our left and right ear-worn prototypes to estimate blood pressure. Our preliminary evaluation with 20 participants shows the feasibility of measuring systolic and diastolic blood pressure from the ears, with mean absolute errors of 3.97 mmHg and 3.83 mmHg, respectively, against ground truth blood pressure measurements from a clinical-grade cuff-based device. Our investigation shows the feasibility of Stereo-BP in providing frequent blood pressure estimation with future earables.",Cardio-Respiratory System,Blood Pressure,On the ear helix,Photo,Pulse Time Difference (PTD),"High Accuracy, Non-invasive"
140,A Wearable EEG Acquisition Device With Flexible Silver Ink Screen Printed Dry Sensors,"Sheeraz, Muhammad et al.","Sheeraz, Muhammad and Saadeh, Wala and Altaf, Muhammad Awais Bin",2023,https://ieeexplore.ieee.org/document/10181812/,"Current electroencephalogram (EEG) measuring systems are bulky, impose constraints on patients, and require pre and post-measuring procedures. Usually, the EEG systems use either wet or dry EEG sensors, with the former suffers from skin preparation, the issues of adhesive conductive gels, and one-time usability whereas the latter causes skin irritation, abrasion, and pain upon pressure. Hence, these sensors are not suitable for long-term measurements. This paper presents a novel, wireless, behind-the-ear wearable EEG acquisition device that incorporates flexible dry EEG sensors. Silver ink-printed flexible sensors are fabricated using screen printing to overcome the above-mentioned drawbacks and limitations of conventional EEG sensors. The flexible sensors form a capacitive link with the skin via an adhesive layer between the sensor and the person's skin and are capable of acquiring the EEG without any skin preparation or gel. The performance of the printed flexible EEG sensors is tested by comparing them with the standard Ag/AgCl pre-gelled sensors. The alpha wave test and evoked potential EEG test are also performed for verification. The proposed device has a small form factor similar to a hearing aid and an in-house configurable Analog Front End (AFE) and Digital Back End (DBE) Processor and is capable of acquiring continuous EEG for a longer duration in a user-friendly and socially discrete manner.",Nervous System,Brain Activity,Behind the ear,Electrical,Electroencephalography (EEG),"Continuous, High Quality"
141,Detection of Microsleep Events With a Behind-the-Ear Wearable System,"Pham, Nhat et al.","Pham, Nhat and Dinh, Tuan and Kim, Taeho and Raghebi, Zohreh and Bui, Nam and Truong, Hoang and Nguyen, Tuan and Banaei-Kashani, Farnoush and Halbower, Ann and Dinh, Thang and Nguyen, Phuc and Vu, Tam",2023,https://ieeexplore.ieee.org/document/9462324/,"Every year, the U.S. economy loses more than $411 billion because of work performance reduction, injuries, and traffic accidents caused by microsleep. To mitigate microsleep's consequences, an unobtrusive, reliable, and socially acceptable microsleep detection solution throughout the day, every day is required. Unfortunately, existing solutions do not meet these requirements. In this paper, we propose WAKE, a novel behind-the-ear wearable device for microsleep detection. By monitoring biosignals from the brain, eye movements, facial muscle contractions, and sweat gland activities from behind the user's ears, WAKE can detect microsleep with a high temporal resolution. We introduce a Three-fold Cascaded Amplifying (3CA) technique to tame the motion artifacts and environmental noises for capturing high fidelity signals. Through our prototyping, we show that WAKE can suppress motion and environmental noise in real-time by 9.74-19.47 dB while walking, driving, or staying in different environments, ensuring that the biosignals are captured reliably. We evaluated WAKE using gold-standard devices on 19 sleep-deprived and narcoleptic subjects. The Leave-One-Subject-Out Cross-Validation results show the feasibility of WAKE in microsleep detection on an unseen subject with average precision and recall of 76 and 85 percent, respectively.",Nervous System,"Brain Activity, Drowsiness",Behind the ear,"Combination, Electrical","Electroencephalography (EEG), Electrooculography (EOG), Electromyography (EMG), Electrodermal Activity(EDA)",Energy-efficient
142,Behind-the-Ear EEG-Based Wearable Driver Drowsiness Detection System Using Embedded Tiny Neural Networks,"Nguyen, Ha-Trung et al.","Nguyen, Ha-Trung and Mai, Ngoc-Dau and Lee, Boon Giin and Chung, Wan-Young",2023,https://ieeexplore.ieee.org/document/10236992,"Driver drowsiness is a major factor that leads to traffic accidents and loss of life. A popular drowsiness detection (DD) method is based on machine learning (ML) and monitoring electroencephalogram (EEG) signals from the scalp. However, the setup is usually bulky and too obtrusive for use in daily life. In addition, the data processing unit is usually placed in large hardware such as cloud servers and personal computers that receive the EEG signal from wearable sensors wirelessly. This results in a cumbersome system that lacks mobility and suffers high latency and power consumption because of wireless connection. The behind-the-ear (BTE) EEG is a novel approach that promises a more convenient and practical solution than scalp-EEG. Recent advances in tiny ML (TinyML) mean that on-device ML-based driver DD (DDD) could also be realized to avoid the limitations mentioned above. This article presents the design of a novel BTE EEG-based DDD system that uses a wearable headband device and runs built-in neural network (NN) models. The device collects EEG signals from four proposed BTE locations that are then preprocessed. Welch’s method is applied to extract the relative power spectral density (rPSD) ratio of three EEG bands (theta, alpha, and beta). Two NN models [multilayer perceptron (MLP) and convolutional NN (CNN)] were trained and compared to a support vector machine (SVM) before deployment in the embedded device. Then, a benchmark test was performed to evaluate the on-device performances of these models. The test results established the practicality and feasibility of the proposed system for on-device DDD.",Nervous System,Brain Activity,Behind the ear,Electrical,Electroencephalography (EEG),Energy-efficient
143,APG: Audioplethysmography for Cardiac Monitoring in Hearables,"Fan, Xiaoran et al.","Fan, Xiaoran and Pearl, David and Howard, Richard and Shangguan, Longfei and Thormundsson, Trausti",2023,https://doi.org/10.1145/3570361.3613281,"This paper presents Audioplethysmography (APG), a novel cardiac monitoring modality for active noise cancellation (ANC) headphones. APG sends a low intensity ultrasound probing signal using an ANC headphone's speakers and receives the echoes via the on-board feedback microphones. We observed that, as the volume of ear canals slightly changes with blood vessel deformations, the heartbeats will modulate these ultrasound echoes. We built mathematical models to analyze the underlying physics and propose a multi-tone APG signal processing pipeline to derive the heart rate and heart rate variability in both constrained and unconstrained settings. APG enables robust monitoring of cardiac activities using mass-market ANC headphones in the presence of music playback and body motion such as running.","Cardio-Respiratory System, Cardiovascular System","Heart Rate Variability, Heart Rate","Around the ear, Ear Canal",Acoustic,Ultrasound echoes,"High Accuracy, High Robustness"
144,Earmonitor: In-ear Motion-resilient Acoustic Sensing Using Commodity Earphones,"Sun, Xue et al.","Sun, Xue and Xiong, Jie and Feng, Chao and Deng, Wenwen and Wei, Xudong and Fang, Dingyi and Chen, Xiaojiang",2023,https://doi.org/10.1145/3569472,"Earphones are emerging as the most popular wearable devices and there has been a growing trend in bringing intelligence to earphones. Previous efforts include adding extra sensors (e.g., accelerometer and gyroscope) or peripheral hardware to make earphones smart. These methods are usually complex in design and also incur additional cost. In this paper, we present Earmonitor, a low-cost system that uses the in-ear earphones to achieve sensing purposes. The basic idea behind Earmonitor is that each person's ear canal varies in size and shape. We therefore can extract the unique features from the ear canal-reflected signals to depict the personalized differences in ear canal geometry. Furthermore, we discover that the signal variations are also affected by the fine-grained physiological activities. We can therefore further detect the subtle heartbeat from the ear canal reflections. Experiments show that Earmonitor can achieve up to 96.4% Balanced Accuracy (BAC) and low False Acceptance Rate (FAR) for user identification on a large-scale data of 120 subjects. For heartbeat monitoring, without any training, we propose signal processing schemes to achieve high sensing accuracy even in the most challenging scenarios when the target is walking or running.",Cardio-Respiratory System,Heart Rate,Ear Canal,Acoustic,In-ear acoustic reflection signals,High Accuracy
145,The Modern Hearing Aid: A Platform for Health and Wellness Tracking,"Schroeder, Mark J. et al.","Schroeder, Mark J. and Olson, Kyle D. and O’Brien, Parker and Lin, Andy S.",2023,https://ieeexplore.ieee.org/document/10331528/,"An existing receiver-in-canal hearing aid was used as a platform upon which to build a health and wellness sensor system. Four biometric signals, all vital signs, were integrated into the system. The biometric signals consist of body temperature, oxygen saturation, heart rate and respiration rate. The system allows for measurements to be acquired both automatically and on-demand while being tracked in a smartphone app. All sensor modalities were evaluated for accuracy and each met standards that have been set by either governing bodies or the research community. Wearing the in-canal device for several hours was well tolerated by all users. Power consumption during measurement acquisition was significantly elevated. However, since readings are taken only intermittently, additional battery charging was not required throughout the day. Since a large portion of the hearing aid-wearing community are elderly and more prone to the negative effects of illness, the evolution of the hearing aid to provide real-time monitoring and tracking of vital signs is both logical and prudent. Early detection of deteriorating health allows users and their caregivers to seek medical intervention sooner which could potentially reduce the likelihood and severity of a negative outcome.","Cardio-Respiratory System, Thermal Regulation","Body Temperature, Heart Rate, Blood Oxygen Saturation, Respiration Rate",Ear Canal,"Photo, Mechanical, Thermal","Photoplethysmography (PPG), Body Temperature","Long Time Wearability, Energy-efficient"
146,Wireless earbuds for low-cost hearing screening,"Chan, Justin et al.","Chan, Justin and Glenn, Antonio and Itani, Malek and Mancl, Lisa R. and Gallagher, Emily and Bly, Randall and Patel, Shwetak and Gollakota, Shyamnath",2023,https://doi.org/10.1145/3581791.3596856,"We present the first wireless earbud hardware that can perform hearing screening by detecting otoacoustic emissions. The conventional wisdom has been that detecting otoacoustic emissions, which are the faint sounds generated by the cochlea, requires sensitive and expensive acoustic hardware. Thus, medical devices for hearing screening cost thousands of dollars and are inaccessible in low and middle income countries. We show that by designing wireless ear-buds using low-cost acoustic hardware and combining them with wireless sensing algorithms, we can reliably identify otoacoustic emissions and perform hearing screening. Our algorithms combine frequency modulated chirps with wideband pulses emitted from a low-cost speaker to reliably separate otoacoustic emissions from in-ear reflections and echoes. We conducted a clinical study with 50 ears across two healthcare sites. Our study shows that the low-cost earbuds detect hearing loss with 100% sensitivity and 89.7% specificity, which is comparable to the performance of a $8000 medical device. By developing low-cost and open-source wearable technology, our work may help address global health inequities in hearing screening by democratizing these medical devices.",Health Tracking,Hearing Status,Ear Canal,Acoustic,Otoacoustic Emissions (OAE),"Low Cost, High Accuracy"
147,RRDetection: Respiration Rate Estimation Using Earbuds During Physical Activities,"Jin, Yincheng et al.","Jin, Yincheng and Rahman, Md Mahbubur and Ahmed, Tousif and Kuang, Jilong and Gao, Alex Jun",2023,https://ieeexplore.ieee.org/document/10340157/,"In modern times, earbuds have become both popular and essential accessories for people to use with a wide range of devices in their everyday lives. Moreover, the respiration rate is a crucial vital sign that is sensitive to various pathological conditions. Many earbuds now come equipped with multiple sensing capabilities, including inertial and acoustic sensors. These sensors can be used by researchers to passively monitor users’ vital signs, such as respiration rates. While current earbud-based breath rate estimation algorithms mostly focus on resting conditions, recent studies have demonstrated that respiration rates during physical activities can predict cardio-respiratory fitness for healthy individuals and pulmonary conditions for respiratory patients. To address this gap, we propose a novel algorithm called RRDetection that leverages the motion sensors in ordinary earbuds to detect respiration rates during light to moderate physical activities.",Cardio-Respiratory System,Respiration Rate,Ear Canal,Mechanical,IMU Signals,"Long Time Wearability, Energy-efficient"
148,Remote Breathing Rate Tracking in Stationary Position Using the Motion and Acoustic Sensors of Earables,"Ahmed, Tousif et al.","Ahmed, Tousif and Rahman, Md Mahbubur and Nemati, Ebrahim and Ahmed, Mohsin Yusuf and Kuang, Jilong and Gao, Alex Jun",2023,https://doi.org/10.1145/3544548.3581265,"Breathing rate is critical for the user’s respiratory health and is hard to track outside the clinical context, requiring specialized devices. Earables could provide a convenient solution to track the breathing rate anywhere by leveraging the user’s breathing-related motion and sound captured through the earables’ motion sensors and microphones. However, small non-breathing head movements or background noises during the assessment affect the estimation accuracy. While noise filtering improves accuracy, it can discard valid measurements. This paper presents a multimodal approach to tracking the user’s breathing rate using a signal-processing-based algorithm on motion sensors and a lightweight machine-learning algorithm on acoustic sensors from the earables that balances the accuracy and data retention. A user study with 30 participants shows that the system can accurately calculate breathing rate (Mean Absolute Error < 2 breaths per minute) while retaining most breathing sessions (75%) performed in real-world settings. This work provides an essential direction for remote breathing rate monitoring.",Cardio-Respiratory System,Respiration Rate,Ear Canal,"Mechanical, Acoustic",Beats Per Minute (BPM),"High Accuracy, Remote"
149,Hearables: Automatic Sleep Scoring from Single-Channel Ear-EEG in Older Adults,"Hammour, Ghena et al.","Hammour, Ghena and Atzori, Giuseppe and Monica, Ciro Della and Ravindran, Kiran K G and Revell, Victoria and Dijk, Derk-Jan and Mandic, Danilo P.",2023,https://ieeexplore.ieee.org/document/10340253,"Sleep disorders are a prevalent problem among older adults, yet obtaining an accurate and reliable assessment of sleep quality can be challenging. Traditional polysomnography (PSG) is the gold standard for sleep staging, but is obtrusive, expensive, and requires expert assistance. To this end, we propose a minimally invasive single-channel single ear-EEG automatic sleep staging method for older adults. The method employs features from the frequency, time, and structural complexity domains, which provide a robust classification of sleep stages from a standardised viscoelastic earpiece. Our method is verified on a dataset of older adults and achieves a kappa value of at least 0.61, indicating substantial agreement. This paves the way for a non-invasive, cost-effective, and portable alternative to traditional PSG for sleep staging.",Nervous System,Sleep,Ear Canal,Electrical,Electroencephalography (EEG),"Non-invasive, Low Cost"
150,Template-Based Extraction of Interbeat Intervals from in-Ear Heartbeat Sounds,"Benesch, Danielle et al.","Benesch, Danielle and Chabot, Philippe and Tom, Ajin and Voix, Jérémie and Bouserhal, Rachel E.",2024,https://ieeexplore.ieee.org/document/10780689,"Recent advancements in hearable technology have led to the development of multifunctional in-ear devices equipped with microphones that can improve audio experiences, assist with hearing and enhance speech communication. This paper introduces a template-based algorithm for extracting interbeat intervals (IBIs) from heartbeat sounds captured by acoustic in-ear microphones. The proposed method involves generating a template using the median waveform of the heartbeat sound, using this template for correlation-based peak detection, and detecting anomalies in the resulting peaks. The algorithm is evaluated on 39 participants in silence and noise, with ground truth provided by concurrent electrocardiography measurements. Results demonstrate that the template-based approach improves the accuracy of IBI extraction, achieving 4.68 milliseconds mean absolute error using a 300-second analysis window, which is an improvement of 55.13% from the benchmark method found in the literature. This study highlights the potential of template-based algorithms for heart rate variability analysis using acoustic in-ear microphones, broadening the applications of hearable technology for continuous non-invasive health monitoring.",Cardiovascular System,"Heart Rate Variability, Inter-Beat Interval, Heart Sound",Ear Canal,Acoustic,,High Accuracy
151,A 65-nm CMOS Millimeter-Wave Ear-Worn Non-Invasive Continuous Glucose Monitoring Chipset Using a 0.17mm2 72mW Transmitter and a 0.75mm2 80mW Direct-Conversion Receiver,"Niitsu, Kiichi et al.","Niitsu, Kiichi and Fukushima, Koki and Hiraoka, Yuichi and Urawa, Hidenori and Ozawa, Yutaka and Osaki, Yuya and Kaneko, Masaya and Nakamura, Jin and Yoshikawa, Hideo",2024,https://ieeexplore.ieee.org/document/10506119,"Diabetes necessitates monitoring of blood glucose levels. However, the existing methods are invasive in nature while being expensive and not being suitable for continuous monitoring. Thus, this study proposed a low-cost millimeter-wave (MMW) complementary metal-oxide-semiconductor (CMOS) transmitter and receiver chipset to facilitate ear-worn non-invasive continuous glucose monitoring for diabetic care. The direct conversion receiver method was adopted, which reduced the total area of the entire circuit by 37% compared to the conventional technology, thus decreasing the cost. A prototype chip of the transmitter and receiver circuits was designed and developed in 65-nm CMOS, and the MMW transmission/reception operation was confirmed in the 30-GHz band between two simulated human bodies composed of DI water and glucose.",Cardiovascular System,Blood Glucose,Earlobe,Electromagnetic,Blood Glucose Level,"Continuous, Low Cost"
152,HearBP: Hear Your Blood Pressure via In-ear Acoustic Sensing Based on Heart Sounds,"Zhao, Zhiyuan et al.","Zhao, Zhiyuan and Li, Fan and Xie, Yadong and Xie, Huanran and Zhang, Kerui and Zhang, Li and Wang, Yu",2024,https://ieeexplore.ieee.org/document/10621249/,"Continuous blood pressure (BP) monitoring using wearable devices has received increasing attention due to its importance in diagnosing diseases. However, existing methods mainly measure BP intermittently, involve some form of user effort, and suffer from insufficient accuracy due to sensor properties. In order to overcome these limitations, we study the BP measurement technology based on heart sounds, and find that the time interval between the first and second heart sounds (TIFS) of bone-conducted heart sounds collected in the binaural canal is closely related to BP. Motivated by this, we propose HearBP, a novel BP monitoring system that utilizes inear microphones to collect bone-conducted heart sounds in the binaural canal. We first design a noise removing method based on U-net autoencoder-decoder to separate clean heart sounds from background noises. Then, we design a feature extraction method based on shannon energy and energy-entropy ratio to further mine the time domain and frequency domain features of heart sounds. In addition, combined with the principal component analysis algorithm, we achieve feature dimension reduction to extract the main features related to BP. Finally, we propose a network model based on dendritic neural regression to construct a mapping between the extracted features and BP. Extensive experiments with 41 participants show the average estimation error of 0.97mmHg and 1.61mmHg and the standard deviation error of 3.13mmHg and 3.56mmHg for diastolic pressure and systolic pressure, respectively. These errors are within the acceptable range specified by the FDA’s AAMI protocol.",Cardio-Respiratory System,Blood Pressure,Ear Canal,Acoustic,Heart sound,"Non-invasive, Continuous"
153,Optimal Head-mounted IMU Placement for Heart Rate Detection Using Ballistography,"Roshan, Saboora M. et al.","Roshan, Saboora M. and Park, Edward J.",2024,https://ieeexplore.ieee.org/document/10782353,"Continuous and accurate heart rate monitoring is pivotal for the early detection of cardiovascular conditions. Traditional heart rate sensing methods, such as the use of adhesive electrocardiogram (ECG) electrodes, often fall short in terms of comfort and convenience for everyday wear and continuous monitoring. Ballistocardiography (BCG), a non-invasive alternative, offers a promising solution by measuring the body’s mechanical reactions to the ejected blood by the heart during cardiac cycles. This paper introduces a novel heart detection method utilizing IMU-based BCG applied to the head, focusing on optimizing sensor placement on the head for improved accuracy. Noteworthy is that the detection algorithm needs to be robust against noise and movement artifacts; therefore, the choice of sensor location and signal processing techniques become key factors. This pilot study explores various IMU mounting locations on the head and signal processing techniques to improve the feasibility and accuracy of head-mounted wearable devices employing BCG.",Cardio-Respiratory System,Heart Rate,Head-mounted,Mechanical,IMU Signals,"Non-invasive, High Accuracy"
154,Exploring the Feasibility of Remote Cardiac Auscultation Using Earphones,"Chen, Tao et al.","Chen, Tao and Yang, Yongjie and Fan, Xiaoran and Guo, Xiuzhen and Xiong, Jie and Shangguan, Longfei",2024,https://doi.org/10.1145/3636534.3649366,"The elderly over 65 accounts for 80% of COVID deaths in the United States. In response to the pandemic, the federal, state governments, and commercial insurers are promoting video visits, through which the elderly can access specialists at home over the Internet, without the risk of COVID exposure. However, the current video visit practice barely relies on video observation and talking. The specialist could not assess the patient's health conditions by performing auscultations. This paper tries to address this key missing component in video visits by proposing Asclepius, a hardware-software solution that turns the patient's earphones into a stethoscope, allowing the specialist to hear the patient's fine-grained heart sound (i.e., PCG signals) in video visits. To achieve this goal, we contribute a low-cost plug-in peripheral that repurposes the earphone's speaker into a microphone and uses it to capture the patient's minute PCG signals from her ear canal. As the PCG signals suffer from strong attenuation and multi-path effects when propagating from the heart to ear canals, we then propose efficient signal processing algorithms coupled with a data-driven approach to de-reverberate and further correct the amplitude and frequency distortion in raw PCG receptions. We implement Asclepius on a 2-layer PCB board and follow the IRB protocol to evaluate its performance with 30 volunteers. Our extensive experiments show that Asclepius can effectively recover Phonocardiogram (PCG) signals with different types of earphones. The objective blind testing and subjective interview with five cardiologists further confirm the clinical efficacy and efficiency of our system. PCG signal samples, benchmark results, and cardiologist interviews can be found at: https://asclepius-system.github.io/",Cardiovascular System,Heart Sound,Headphone type,Acoustic,Phonocardiogram (PCG),"High Accuracy, Low Cost"
155,An Unobtrusive and Lightweight Ear-worn System for Continuous Epileptic Seizure Detection,"Aziz, Abdul et al.","Aziz, Abdul and Pham, Nhat and Vora, Neel and Reynolds, Cody and Lehnen, Jaime and Venkatesh, Pooja and Yao, Zhuoran and Harvey, Jay and Vu, Tam and Ding, Kan and Nguyen, Phuc",2024,https://doi.org/10.1145/3703164,"Epilepsy is one of the most common neurological diseases globally (around 50M people globally). Fortunately, up to 70% of people with epilepsy could live seizure-free if properly diagnosed and treated, and a reliable technique to monitor the onset of seizures could improve the quality of life of patients who are constantly facing the fear of random seizure attacks. The current gold standard, video-EEG (v-EEG), involves attaching over 20 electrodes to the scalp, is costly, requires hospitalization, trained professionals, and is uncomfortable for patients. To address this gap, we developed EarSD, a lightweight and unobtrusive ear-worn system to detect seizure onsets by measuring physiological signals behind the ears. This system can be integrated into earphones, headphones, or hearing aids, providing a convenient solution for continuous monitoring. EarSD is an integrated custom-built sensing-computing-communication ear-worn platform to capture seizure signals, remove the noises caused by motion artifacts and environmental impacts, and stream the collected data wirelessly to the computer/mobile phone nearby. EarSD’s ML algorithm, running on a server, identifies seizure-associated signatures and detects onset events. We evaluated the proposed system in both in-lab and in-hospital experiments at the University of Texas Southwestern Medical Center with epileptic seizure patients, confirming its usability and practicality.",Health Tracking,Epileptic Seizure,Behind the ear,Electrical,"Electroencephalography (EEG), Electromyography (EMG), Electrooculography (EOG)","High Accuracy, Long time wearability"
156,No Ear Left Behind: Wireless Earbuds for Low-Cost Hearing Screening,"Chan, Justin et al.","Chan, Justin and Glenn, Antonio and Itani, Malek and Mancl, Lisa R. and Gallagher, Emily R.",2024,https://doi.org/10.1145/3701701.3701709,"Hearing loss is particularly harmful for language acquisition and neuro-development if it is left undetected in early childhood. Newborn hearing screening technologies using otoacoustic emissions (OAE) rely on detecting soft sounds generated by a healthy cochlea. High-income countries like the United States frequently implement hearing screening programs for every child at birth. However, such universal hearing screening is significantly less common in low- and middle-income countries, partly due to the conventional wisdom that the test requires sensitive and expensive acoustic hardware that costs thousands of dollars. In our MobiSys paper[1], we present the first wireless earbud design for low-cost hearing screening. Our hardware-software system reliably performs hearing screening using low-cost acoustic hardware, while being in the form-factor of a wireless earbud (Figure. 1a,b). The earbud hardware is designed to work across a large age range from newborns to adults. By developing low-cost and open-source wearable technology, our work may help address global health inequities in hearing screening by democratizing these medical devices.",Health Tracking,Hearing Status,Ear Canal,Acoustic,Otoacoustic Emissions (OAE),"Low Cost, High Accuracy"
157,"OptiBreathe: An Earable-based PPG System for Continuous Respiration Rate, Breathing Phase, and Tidal Volume Monitoring","Romero, Julia et al.","Romero, Julia and Ferlini, Andrea and Spathis, Dimitris and Dang, Ting and Farrahi, Katayoun and Kawsar, Fahim and Montanari, Alessandro",2024,https://doi.org/10.1145/3638550.3641136,"In the continuous quest to push the boundaries of mobile healthcare and fitness tracking, monitoring respiratory biomarkers emerges as a pivotal frontier. In this paper, we present OptiBreathe, a lightweight on-device earable system designed to decode the respiratory modulations within photoplethysmography (PPG) signals. OptiBreathe computes three clinical respiratory biomarkers towards enabling continuous respiratory health monitoring with wearable devices. In our effort to bridge respiratory research and earable computing, we collected a first-of-its-kind dataset that empowers researchers to explore in-ear PPG alongside gold-standard spirometry-based ground truth in order to measure respiration rate, breathing phases, and tidal volume. OptiBreathe employs multiple algorithms to measure each respiratory parameter, achieving a best mean absolute error (MAE) of 1.96 breaths per minute on respiratory rate. When estimating breathing phases and tidal volume, OptiBreathe attains an MAE of 0.48 seconds on inspiratory time, 0.14 on inhalation-exhalation ratio (inhalation duration divided by exhalation duration), and a best mean absolute percentage error (MAPE) of 17% on tidal volume (averaged across subjects). This work shows that the best performing algorithm depends on individuals' unique physiology, and that future research should investigate the relationship between physiological factors and algorithm performances. As we look forward, we highlight the challenges and nuances in harnessing PPG sensors for respiratory monitoring, inviting researchers to build upon our work.",Cardio-Respiratory System,"Respiration Rate, Breathing phase, Tidal Volume",Ear Canal,Photo,"Respiratory Phase Metrics, Tidal Volume (TV)",High Accuracy
158,Ballistocardiogram-Based Heart Rate Variability Estimation for Stress Monitoring using Consumer Earbuds,"Lin, David J. et al.","Lin, David J. and Rahman, Md Mahbubur and Zhu, Li and Nathan, Viswam and Bae, Jungmok and Rosa, Christina and Mendes, Wendy B. and Kuang, Jilong and Gao, Alex J.",2024,https://ieeexplore.ieee.org/document/10447280,"Stress can potentially have detrimental effects on both physical and mental well-being, but monitoring it can be challenging, especially in free-living conditions. One approach to address this challenge is to use earbud accelerometers to capture the ballistocardiogram (BCG) response. These sensors allow for noninvasive stress monitoring by estimating physiological indicators linked to stress, such as heart rate variability (HRV). However, ear-worn devices are susceptible to motion artifacts and can exhibit significant BCG signal morphology variations. These challenges necessitate accurate algorithms to estimate HRV for everyday use. Therefore, we developed a method to measure interbeat intervals (IBI) from BCG signals collected from an earbud. To enhance IBI estimation accuracy, we employed a Bayesian method that incorporates robust apriori IBI prediction weighting and sensor fusion techniques. We have also conducted a study involving 97 participants to assess the earbuds' ability to estimate HRV metrics and classify stressful activities. Our findings demonstrate low IBI estimation error (4.16% ± 1.90%), along with lower errors in subsequent higher-order HRV metrics compared to the state-of-the-art algorithms.",Cardiovascular System,Inter-Beat Interval,Ear Canal,Mechanical,Ballistocardiogram (BCG),"Non-invasive, Long Time Wearability"
159,End-to-End Processing-on-Chip Wearable Ear EEG Device with Tiny Neural Network for Multilevel Stress Detection,"Mai, Ngoc-Dau et al.","Mai, Ngoc-Dau and Nando, Yudi April and Chung, Wan-Young",2024,https://ieeexplore.ieee.org/document/10785105,"The study proposes an innovative method for predicting stress levels that employs electroencephalography (EEG) data collected from behind the ear (BTE) and incorporates tiny neural networks (TNN). The system, which consists of an EEG processing device and a companion smartphone application for monitoring, is designed to: (1) collect EEG signals from behind the ear rather than the scalp, prioritizing comfort and reducing hair interference; (2) filter out irrelevant signals from the desired EEG; (3) extract relative power spectral density (PSD) features from EEG data using Fast Fourier Transform (FFT); and (4) classify stress levels using a proposed TNN. Importantly, all processing stages occur on the chip itself, rather than on external devices such as PCs or servers, providing fast and synchronized processing and preventing data loss during transmission. In addition, (5) a user-friendly smartphone app is being created for rapid and straightforward stress level monitoring. Experimental results show that the on-chip TNN is successful, with accuracy of 90.83%, precision of 90.87%, recall of 90.83%, and an F1-score of 0.9081, all verified using leave-one-subject-out cross-validation (LOOCV). This merging of BTE EEG analysis with on-chip TNNs offers the potential for enhancing mental stress detection and other health-related uses.",Mental State,Stress,Behind the ear,Electrical,Electroencephalography (EEG),"Non-invasive, Long Time Wearability, Energy-efficient"
160,A Framework for Extracting Heart Rate Variability Features from Earbud-PPG for Stress Detection,"Gullapalli, Bhanu Teja et al.","Gullapalli, Bhanu Teja and Nathan, Viswam and Rahman, Md Mahbubur and Kuang, Jilong and Gao, Jun Alex",2024,https://ieeexplore.ieee.org/document/10782088,"Unmanaged stress can lead to serious physiological and mental health issues, making it important to monitor stress continuously using wearable sensors. In this work, we investigate the use of photoplethysmography (PPG) sensors in consumer-grade earbud devices to classify periods of stress. We propose a framework that initially employs deep learning to predict heart rate variability (HRV) features from the relatively noisy earbud PPG signal. Subsequently, we transfer this knowledge and use these features for the downstream task of stress classification. The proposed framework outperforms an existing state-of-the-art library on HRV feature extraction, resulting in at least 5% improvement in accuracy, sensitivity, and specificity for stress detection",Mental State,Stress,Ear Canal,Photo,Photoplethysmography (PPG),Non-invasive
